canonical_place_id,canonical_place_name,source_sheet,source_place_name,normalized_place_name,match_score,match_method,match_status,needs_manual_review,candidate_canonical_place_id,candidate_canonical_place_name
place_00007,Air Terjun Janji,wisata-metadata,Air Terjun Janji,air terjun janji,88.5,fuzzy_tfidf_candidate,new_needs_manual_review,True,place_00005,Air Terjun Binanga Bolon
place_00008,Air Terjun Lae,wisata-metadata,Air Terjun Lae,air terjun lae,88.5,fuzzy_tfidf_candidate,new_needs_manual_review,True,place_00005,Air Terjun Binanga Bolon
place_00012,Air Terjun Siboruon Balige,wisata-metadata,Air Terjun Siboruon Balige,air terjun siboruon balige,88.5,fuzzy_tfidf_candidate,new_needs_manual_review,True,place_00006,Air Terjun Efrata
place_00013,Air Terjun Sigarattung,wisata-metadata,Air Terjun Sigarattung,air terjun sigarattung,88.5,fuzzy_tfidf_candidate,new_needs_manual_review,True,place_00008,Air Terjun Lae
place_00014,Air Terjun Sigota gota Sipultak Hoda,wisata-metadata,Air Terjun Sigota gota Sipultak Hoda,air terjun sigota gota sipultak hoda,88.5,fuzzy_tfidf_candidate,new_needs_manual_review,True,place_00005,Air Terjun Binanga Bolon
place_00015,Air Terjun Sigura-Gura,wisata-metadata,Air Terjun Sigura-Gura,air terjun sigura gura,88.5,fuzzy_tfidf_candidate,new_needs_manual_review,True,place_00008,Air Terjun Lae
place_00016,Air Terjun Simolap,wisata-metadata,Air Terjun Simolap,air terjun simolap,88.5,fuzzy_tfidf_candidate,new_needs_manual_review,True,place_00014,Air Terjun Sigota gota Sipultak Hoda
place_00017,Air Terjun Sipisopiso,wisata-metadata,Air Terjun Sipisopiso,air terjun sipisopiso,88.5,fuzzy_tfidf_candidate,new_needs_manual_review,True,place_00008,Air Terjun Lae
place_00018,Air Terjun Sitapigagan,wisata-metadata,Air Terjun Sitapigagan,air terjun sitapigagan,88.5,fuzzy_tfidf_candidate,new_needs_manual_review,True,place_00008,Air Terjun Lae
place_00019,Air Terjun Situmurun,wisata-metadata,Air Terjun Situmurun,air terjun situmurun,88.5,fuzzy_tfidf_candidate,new_needs_manual_review,True,place_00014,Air Terjun Sigota gota Sipultak Hoda
place_00020,Air Terjun Tombak Pangaribuan,wisata-metadata,Air Terjun Tombak Pangaribuan,air terjun tombak pangaribuan,88.5,fuzzy_tfidf_candidate,new_needs_manual_review,True,place_00006,Air Terjun Efrata
place_00021,Air Terjun Tonduhan,wisata-metadata,Air Terjun Tonduhan,air terjun tonduhan,88.5,fuzzy_tfidf_candidate,new_needs_manual_review,True,place_00014,Air Terjun Sigota gota Sipultak Hoda
place_00022,Air Terjun Turunan Buhit (Jabel),wisata-metadata,Air Terjun Turunan Buhit (Jabel),air terjun turunan buhit jabel,88.5,fuzzy_tfidf_candidate,new_needs_manual_review,True,place_00006,Air Terjun Efrata
place_00025,Amora Cafe,resto-metadata,Amora Cafe,amora cafe,88.5,fuzzy_tfidf_candidate,new_needs_manual_review,True,place_00001,3J Lamongan Cafe n Resto
place_00033,"BAKSO MAS PANDU ""WONG SOLO""",resto-metadata,"BAKSO MAS PANDU ""WONG SOLO""",bakso mas pandu wong solo,88.5,fuzzy_tfidf_candidate,new_needs_manual_review,True,place_00032,Bakso Dorela
place_00034,BAKSO PAK RADIT (BAKSO KHAS MALANG),resto-metadata,BAKSO PAK RADIT (BAKSO KHAS MALANG),bakso pak radit bakso khas malang,88.5,fuzzy_tfidf_candidate,new_needs_manual_review,True,place_00032,Bakso Dorela
place_00044,Batu Sigadap,wisata-metadata,Batu Sigadap,batu sigadap,88.5,fuzzy_tfidf_candidate,new_needs_manual_review,True,place_00040,Batu Kursi Raja Siallagan ( Stone Chair of King Siallagan )
